date,dogecoin_price,stonks
2014-05-26,0.000304746311,-1
2014-05-27,0.00028886957599999995,-1
2014-05-28,0.00028398581599999994,-1
2014-05-29,0.00028548419599999994,1
2014-05-30,0.000286775592,1
2014-05-31,0.00025513768,-1
2014-06-01,0.000245771496,-1
2014-06-02,0.000305207695,1
2014-06-03,0.00028962882,-1
2014-06-04,0.000284041196,-1
2014-06-05,0.000268729407,-1
2014-06-06,0.00026491014,-1
2014-06-07,0.000266250376,1
2014-06-08,0.00026273049,-1
2014-06-09,0.000266764456,1
2014-06-10,0.000265275416,-1
2014-06-11,0.000282692659,1
2014-06-12,0.000307259964,1
2014-06-13,0.00026786016,-1
2014-06-14,0.000276718239,1
2014-06-15,0.000265221684,-1
2014-06-16,0.000271566351,1
2014-06-17,0.000257562966,-1
2014-06-18,0.000264440891,1
2014-06-19,0.000257966368,-1
2014-06-20,0.0002573659776416373,-1
2014-06-21,0.0002553705457476166,-1
2014-06-22,0.0002498600099643872,-1
2014-06-23,0.00024501138981676,-1
2014-06-24,0.0002397576694931509,-1
2014-06-25,0.0002258202036987925,-1
2014-06-26,0.0001908158516776264,-1
2014-06-27,0.0002166927224096183,1
2014-06-28,0.000212656268858715,-1
2014-06-29,0.0001990883260322412,-1
2014-06-30,0.0001938386207149541,-1
2014-07-01,0.0001940967575602146,1
2014-07-02,0.0001890357541668154,-1
2014-07-03,0.0001619860982660859,-1
2014-07-04,0.0001583176122588554,-1
2014-07-05,0.0001701297674520353,1
2014-07-06,0.0001625412730678054,-1
2014-07-07,0.000170955117034678,1
2014-07-08,0.0001639895597478118,-1
2014-07-09,0.0001908362947025482,1
2014-07-10,0.0002056195615505543,1
2014-07-11,0.0001958552319574953,-1
2014-07-12,0.0001980948774731936,1
2014-07-13,0.0001998595475315024,1
2014-07-14,0.0001961952708746635,-1
2014-07-15,0.0001870726180573229,-1
2014-07-16,0.0001842784250296076,-1
2014-07-17,0.0001729828926001207,-1
2014-07-18,0.0001902635980445636,1
2014-07-19,0.0001811590297732385,-1
2014-07-20,0.0001755799961500354,-1
2014-07-21,0.0001738853880692146,-1
2014-07-22,0.0001714639428726042,-1
2014-07-23,0.0001607825264150085,-1
2014-07-24,0.0001650293086662848,1
2014-07-25,0.000157630131937289,-1
2014-07-26,0.0001577587971881289,1
2014-07-27,0.0001518504039454768,-1
2014-07-28,0.0001617502361411484,1
2014-07-29,0.0001514971472940973,-1
2014-07-30,0.0001561107682695199,1
2014-07-31,0.000146218894359526,-1
2014-08-01,0.0001545337698809789,1
2014-08-02,0.0001558949694790514,1
2014-08-03,0.0001536465188400398,-1
2014-08-04,0.0001492704615305951,-1
2014-08-05,0.000149391368359164,1
2014-08-06,0.0001392765923129372,-1
2014-08-07,0.0001339159854085088,-1
2014-08-08,0.0001336058596916572,-1
2014-08-09,0.0001244096426452388,-1
2014-08-10,0.0001240909712861333,-1
2014-08-11,0.000111484445859506,-1
2014-08-12,0.0001058056204577998,-1
2014-08-13,0.0001103260754866626,1
2014-08-14,0.0001073179242654114,-1
2014-08-15,0.000108740712731303,1
2014-08-16,8.85020028132332e-05,-1
2014-08-17,0.0001006498081269042,1
2014-08-18,9.292091191760656e-05,-1
2014-08-19,7.941442994158438e-05,-1
2014-08-20,8.654380748397423e-05,1
2014-08-21,9.82574168276534e-05,1
2014-08-22,9.805235515102221e-05,-1
2014-08-23,9.398631065281373e-05,-1
2014-08-24,8.98806494808928e-05,-1
2014-08-25,9.306745040557188e-05,1
2014-08-26,8.498217593790843e-05,-1
2014-08-27,0.0001136717954192056,1
2014-08-28,0.0001046435133014031,-1
2014-08-29,0.0001005194155974593,-1
2014-08-30,9.77406317682182e-05,-1
2014-08-31,0.0001019825747400659,1
2014-09-01,0.0001011147764124394,-1
2014-09-02,9.881703838434763e-05,-1
2014-09-03,9.829341604929982e-05,-1
2014-09-04,0.0001044025372054101,1
2014-09-05,0.0001224920694848128,1
2014-09-06,0.0001276042701428083,1
2014-09-07,0.0001601640537848508,1
2014-09-08,0.0001445528159933045,-1
2014-09-09,0.0001374307009097607,-1
2014-09-10,0.0001507119262829871,1
2014-09-11,0.0001445399600824439,-1
2014-09-12,0.0001607984436177343,1
2014-09-13,0.0001596817379782194,-1
2014-09-14,0.0002019907366568909,1
2014-09-15,0.0002568680425902657,1
2014-09-16,0.0002517388991562331,-1
2014-09-17,0.0002202110567298853,-1
2014-09-18,0.0002084014171957354,-1
2014-09-19,0.0002291901127832618,1
2014-09-20,0.0002150070158592909,-1
2014-09-21,0.000227997236651462,1
2014-09-22,0.0002224370508208774,-1
2014-09-23,0.0002290674287958882,1
2014-09-24,0.0002427528523988262,1
2014-09-25,0.0002723013135493832,1
2014-09-26,0.0002905191740076432,1
2014-09-27,0.00035316974908049,1
2014-09-28,0.0002966876337606123,-1
2014-09-29,0.000309800911052606,1
2014-09-30,0.0003095638540816325,-1
2014-10-01,0.0003157942616717901,1
2014-10-02,0.0002892723342698072,-1
2014-10-03,0.0002609898095768177,-1
2014-10-04,0.0002563318612239165,-1
2014-10-05,0.0002349145185448296,-1
2014-10-06,0.0002194422637320649,-1
2014-10-07,0.0002318823464368449,1
2014-10-08,0.000231681506967835,-1
2014-10-09,0.000227577273702929,-1
2014-10-10,0.000228665289214934,1
2014-10-11,0.0002124334020109381,-1
2014-10-12,0.0002203111894072942,1
2014-10-13,0.0002303336562568322,1
2014-10-14,0.0002229736269289812,-1
