date,tweet,clean_tweet
2019-03-02,"If you bought a Tesla before yesterday’s price reduction, you can have Autopilot or full self-driving at half normal cost (up to $6k less)",bought tesla yesterday price reduct autopilot full self drive half normal cost k less
2019-03-01,"Base Model 3 available in Europe in ~6 months, Asia 6 to 8 months. Latter contingent on Shanghai Gigafactory. Country-specific taxes &amp; import duties mean price may be 25% or more above US number.",base model avail europ month asia month latter conting shanghai gigafactori countri specif tax amp import duti mean price may us number
2019-02-21," That said, I still only own 0.25 BTC, which a friend sent me several years ago. Don’t have any crypto holdings.",said still btc friend sent sever year ago crypto hold
2019-02-06,"  Exactly. Both prices are shown right next to each other &amp; lower price is *actually* the real apples to apples cost vs a fuel car. In fact, for many states in the US, it’s way better.",exact price shown right next amp lower price actual real appl appl cost vs fuel car fact mani state us way better
2019-01-13," Which country? There is a 10% import duty, ~20% VAT (US prices don’t include sales tax) and about $2000 in extra shipping cost, but it shouldn’t add up to $25k.",countri import duti vat us price includ sale tax extra ship cost add k
2020-12-22," During the darkest days of the Model 3 program, I reached out to Tim Cook to discuss the possibility of Apple acquiring Tesla (for 1/10 of our current value). He refused to take the meeting.",darkest day model program reach tim cook discuss possibl appl acquir tesla current valu refus take meet
2020-12-20," Pretty much. The main value of college used to be hanging out, having pseudo intellectual conversations &amp; partying with people your own age. Now, even that’s gone.",pretti much main valu colleg use hang pseudo intellectu convers amp parti peopl age even gone
2020-12-20,One word: Doge,one word doge
2020-12-20,Bitcoin is almost as bs as fiat money,bitcoin almost bs fiat money
2020-12-20,Bitcoin is my safe word,bitcoin safe word
2020-11-17,   Dojo/Doge,dojo doge
2020-11-16, 🎶 Toss a bitcoin to ur Witcher 🎶,toss bitcoin ur witcher
2020-11-15,"  They should be imo. If you get a blood pressure test, they tell you the number, not just if it’s high/not-high. There is not a clear consensus on what Ct value of what cov2 gene constitutes “positive”.",imo get blood pressur test tell number high high clear consensus ct valu cov gene constitut posit
2020-10-27," All that was left were broken bots &amp; equipment hardly worth the scrap metal value. But we scrounged up spare parts, fixed the trusty old bots &amp; brought the factory back to life.",left broken bot amp equip hard worth scrap metal valu scroung spare part fix trusti old bot amp brought factori back life
2020-10-22," Well, we have said many times that the price will rise as the product functionality improves. How much time do you think we should give?",well said mani time price rise product function improv much time think give
2020-10-22,"Now that Tesla FSD beta is out in limited release, FSD price (new or upgrade) will go up by ~$2k on Monday",tesla fsd beta limit releas fsd price new upgrad go k monday
2020-10-14,"The gauntlet has been thrown down!   The prophecy will be fulfilled.   Model S price changes to $69,420 tonight!",gauntlet thrown propheci fulfil model price chang tonight
2020-09-28, We aren’t cutting the price of Model 3 to $25k. I was referring to a future car that will be smaller than Model 3.,cut price model k refer futur car smaller model
2020-08-30," It is unfortunately common for many in academia to overweight the value of ideas &amp; underweight bringing them to fruition. For example, the idea of going to the moon is trivial, but going to the moon is hard.",unfortun common mani academia overweight valu idea amp underweight bring fruition exampl idea go moon trivial go moon hard
2020-08-19," That’s an error in Canada. The lease payment is specifically lower than loan financing, as Tesla expects to repossess the car. This is essentially a bet on residual value. If you believe residual value will rise, buy on loan, if you think it will drop, then lease.",error canada leas payment specif lower loan financ tesla expect repossess car essenti bet residu valu believ residu valu rise buy loan think drop leas
2020-07-18,"Solving high-volume, high-reliability, low-cost production problems is especially valued",solv high volum high reliabl low cost product problem especi valu
2020-07-18," Excuse me, I only sell Doge!",excus sell doge
2020-07-10," Not actually a payout, just a vesting of stock options. It may never pay out, as the stock can’t be sold for 5 years after exercise. The stock must be bought &amp; income taxes paid, then hold value for 5 years.",actual payout vest stock option may never pay stock sold year exercis stock must bought amp incom tax paid hold valu year
2020-07-02,"    I’m not building anything on ethereum. Not for or against it, just don’t use it or own any.",build anyth ethereum use
2020-06-25,"  Exactly! A carbon tax is needed to correct the unpriced externality &amp; market will do the rest. The consequences of slow action are serious. In my opinion, we need to convert &gt;80% of the global road, sea &amp; air fleet to renewables by 2050.",exact carbon tax need correct unpric extern amp market rest consequ slow action serious opinion need convert gt global road sea amp air fleet renew
2020-06-22,Reminder that Tesla Full Self-Driving (FSD) price goes up by $1k on July 1st,remind tesla full self drive fsd price goe k juli st
2020-05-18,"The FSD price will continue to rise as the software gets closer to full self-driving capability with regulatory approval. It that point, the value of FSD is probably somewhere in excess of $100,000.",fsd price continu rise softwar get closer full self drive capabl regulatori approv point valu fsd probabl somewher excess
2020-05-15, I still only own 0.25 Bitcoins btw,still bitcoin btw
2020-05-15," Pretty much, although massive currency issuance by govt central banks is making Bitcoin Internet 👻 money look solid by comparison",pretti much although massiv currenc issuanc govt central bank make bitcoin internet money look solid comparison
2020-05-15, Capitalism already has many fetters in the form of a plethora of regulatory bodies! I’m definitely against any monopolies/oligopolies where there is a low forcing function for improving customer happiness or an unpriced externality that consumes a common good (eg emissions).,capit alreadi mani fetter form plethora regulatori bodi definit monopoli oligopoli low forc function improv custom happi unpric extern consum common good eg emiss
2020-05-01, How much for some anime Bitcoin?  ,much anim bitcoin
2020-05-01,Tesla stock price is too high imo,tesla stock price high imo
2020-04-25,  Dogecoin Mode,dogecoin mode
2020-04-22," Pretty much. We place high value on simulation too, but nothing’s as weird as reality!",pretti much place high valu simul noth weird realiti
2020-04-12,"  It’s not turned on. Meant for vandalism monitoring in a robotaxi future. Also, the car has transparent windows, so spying has limited value.",turn meant vandal monitor robotaxi futur also car transpar window spi limit valu
2020-03-27," Biggest value Tesla is providing is precise delivery of ventilators exactly to the ICU where &amp; when they’re needed. There are many ventilators in warehouses, but stuck in logistics/routing/paperwork issues.",biggest valu tesla provid precis deliveri ventil exact icu amp need mani ventil warehous stuck logist rout paperwork issu
2020-03-18," Yeah. There was also an early engine shutdown on ascent, but it didn’t affect orbit insertion. Shows value of having 9 engines! Thorough investigation needed before next mission.",yeah also earli engin shutdown ascent affect orbit insert show valu engin thorough investig need next mission
