date,bitcoin_price,stonks
2011-02-04,0.69,-1
2011-02-05,0.811,1
2011-02-06,0.92,1
2011-02-07,0.8997,-1
2011-02-08,0.89,-1
2011-02-09,0.918,1
2011-02-10,1.09,1
2011-02-11,0.9803,-1
2011-02-12,1.07,1
2011-02-13,1.0799,1
2011-02-14,1.05,-1
2011-02-15,1.07,1
2011-02-16,1.05,-1
2011-02-17,1.045,-1
2011-02-18,1.04,-1
2011-02-19,0.8989,-1
2011-02-20,0.949,1
2011-02-21,0.85,-1
2011-02-22,0.8345,-1
2011-02-23,0.8702,1
2011-02-24,0.9,1
2011-02-25,0.9974,1
2011-02-26,0.9111,-1
2011-02-27,0.958,1
2011-02-28,0.89,-1
2011-03-01,0.86,-1
2011-03-02,0.9202,1
2011-03-03,0.9399,1
2011-03-04,0.9391,-1
2011-03-05,0.901,-1
2011-03-06,0.9103,1
2011-03-07,0.8999,-1
2011-03-08,0.885,-1
2011-03-09,0.87,-1
2011-03-10,0.8645,-1
2011-03-11,0.9329,1
2011-03-12,0.88,-1
2011-03-13,0.918,1
2011-03-14,0.8925,-1
2011-03-15,0.8949,1
2011-03-16,0.87,-1
2011-03-17,0.86,-1
2011-03-18,0.8254,-1
2011-03-19,0.8165,-1
2011-03-20,0.765,-1
2011-03-21,0.7411,-1
2011-03-22,0.759,1
2011-03-23,0.809,1
2011-03-24,0.8497,1
2011-03-25,0.8669,1
2011-03-26,0.8838,1
2011-03-27,0.8552,-1
2011-03-28,0.82,-1
2011-03-29,0.799,-1
2011-03-30,0.7925,-1
2011-03-31,0.7897,-1
2011-04-01,0.7846,-1
2011-04-02,0.7741,-1
2011-04-03,0.782,1
2011-04-04,0.779,-1
2011-04-05,0.68,-1
2011-04-06,0.71,1
2011-04-07,0.74,1
2011-04-08,0.7538,1
2011-04-09,0.75,-1
2011-04-10,0.73,-1
2011-04-11,0.7369,1
2011-04-12,0.77,1
2011-04-13,0.86,1
2011-04-14,0.9225,1
2011-04-15,1.0,1
2011-04-16,0.9899,-1
2011-04-17,1.0499,1
2011-04-18,1.1123,1
2011-04-19,1.162,1
2011-04-20,1.1979,1
2011-04-21,1.1421,-1
2011-04-22,1.21,1
2011-04-23,1.409,1
2011-04-24,1.7001,1
2011-04-25,1.6301,-1
2011-04-26,1.559,-1
2011-04-27,1.7949,1
2011-04-28,1.9,1
2011-04-29,2.2106,1
2011-04-30,2.88,1
2011-05-01,3.5,1
2011-05-02,3.0331,-1
2011-05-03,3.2,1
2011-05-04,3.41,1
2011-05-05,3.4061,-1
2011-05-06,3.333,-1
2011-05-07,3.45,1
2011-05-08,3.641,1
2011-05-09,3.8659,1
2011-05-10,3.8,-1
2011-05-11,5.81,1
2011-05-12,5.5,-1
2011-05-13,6.3002,1
2011-05-14,8.198,1
2011-05-15,7.1977,-1
2011-05-16,6.987,-1
2011-05-17,8.0339,1
2011-05-18,7.19,-1
2011-05-19,6.88,-1
2011-05-20,6.805,-1
2011-05-21,5.5904,-1
2011-05-22,6.1197,1
2011-05-23,6.6901,1
2011-05-24,7.1499,1
2011-05-25,7.42,1
2011-05-26,8.3997,1
2011-05-27,8.798,1
2011-05-28,8.5002,-1
2011-05-29,8.3001,-1
2011-05-30,8.4299,1
2011-05-31,8.8,1
2011-06-01,8.741,-1
2011-06-02,9.57,1
2011-06-03,10.6,1
2011-06-04,14.29,1
2011-06-05,18.89,1
2011-06-06,16.7,-1
2011-06-07,18.5499,1
2011-06-08,23.9234,1
2011-06-09,29.6,1
